,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
44,0.545432518777009,0.290676060552281,1.92115493319249,2.19457207042738,3.91367312982331,3.57783929363265,1.74379643531574,0.95385423041735,1.8,9.4,6784.6,7212,,,0.000352875502195,0.00192522649028
45,0.565449324057548,0.241847502866386,1.62163347788745,1.8937102510451,3.96422642978815,3.52949258747034,2.28144721804901,0.953536521802324,1.6,9.8,7652.4,8412,,,0.000702465178193,0.001896733042315
46,0.496159162282005,0.312879670587973,1.68262027944899,1.83399542209588,3.85462742532122,3.55849491316169,1.93644783301757,0.956054234908022,1.5,9.5,8773,9612,,,0.000851311181456,0.002577535516597
47,0.329549910357939,0.225219150424674,1.47259224210238,1.74015495147559,3.98036341143979,3.55037675826835,2.20392649733469,0.957962411918033,1.6,9.3,9933,10812,,,0.00121528307122,0.001157727266105
48,0.132475021384268,0.063349929115518,6.97527932614603,32.794899730228,7.1566476199077,7.26625416938359,9.04186345722049,4.37225066139045,1.4,86,10871.8,17286,,,0.019227863890809,0.065293901394833
49,0.245294164334257,0.091434158357587,12.3990142353732,33.0983299663852,5.41209044870168,4.72166195343826,4.66051049829945,2.43852378383173,2.5,85.9,17265.8,25886,,,0.031432249231707,0.094916985426375
50,0.462675077486168,0.417069066496517,9.86284385588017,32.6601781553153,5.96125463948235,5.55324521614104,2.62856008875147,1.22178592646117,8.8,85.6,23723.2,34486,,,0.169673606488311,0.288971225851556
51,0.272873607832467,0.403000216085292,9.33466088001506,33.0362756115126,5.34607211640688,5.48686467441966,2.00439177600839,0.676909564955889,3.8,85.2,30437.8,43086,,,0.088638128185531,0.196908808937061
52,0.141257294513088,0.416611617387197,7.47983671596457,31.9099174145982,6.6595988953013,6.76307731463149,1.14431343221293,0.559619983203346,11.6,85.4,35814.4,50052,,,0.128780177433333,0.334786129115355
53,0.526919290510251,0.651106093049943,17.4206137982677,31.742582261028,13.3149319273314,14.966106275946,0.654558813366458,0.560125039811793,18.6,84.2,44720.2,50052,,,0.338124282140401,0.611246046616741
54,0.737377885153907,0.729067833674652,21.4501704077381,27.7836897871523,36.6881991881778,19.487564930909,0.378560777433508,0.559836467015015,40.9,84,49738.8,50052,,,0.535353052649559,0.822997665524033
55,0.737377885153907,0.724300403562062,21.4501704077381,27.491618429607,36.5425320884875,19.487564930909,0.360295386185836,0.559836467015015,40.9,84,50060.8,50052,,,0.535353052649559,0.852021041301112
56,0.7915176704887,0.898967445126748,32.1259894208105,32.1583158441263,13.8980660207323,23.7436994298214,0.581171300918999,0.539093047759469,30.8,85.9,11862.8,17286,,,0.062246038982488,0.044247214366324
57,0.779885288749722,0.901762520609436,32.1423610903734,32.2014139153231,13.7188841795793,25.9457595404956,0.658378762899106,0.591006379899867,37.5,85.6,15695.6,25886,,,0.051986529919178,0.03413561329203
58,0.815408406856174,0.915670687774818,29.9306503294405,30.0282656099011,17.3129623374319,28.4855961017924,0.722294598914857,0.689298449338204,46.9,85.6,19840.4,34486,,,0.058673668670434,0.047714662897923
59,0.833082604244687,0.915100280276175,31.8023232241618,31.7236676849689,16.366863454297,26.014101672348,0.625248733088001,0.590449363967675,46,85.4,26559.6,43086,,,0.045035180426637,0.025478887661954
60,0.845104329528752,0.919427453941986,28.1644998545027,31.0270720413671,19.8183545368445,31.1741202480006,0.705594561361191,0.6852546338099,50.6,85.2,30903.4,50052,,,0.068844430101701,0.044900014531318
61,0.855761399500756,0.918197886309082,27.0963629021541,31.3063647536973,20.0832302861479,31.1471715922467,0.699060973105589,0.685126392166635,63.1,85.2,40005.8,50052,,,0.072409216791136,0.048860904481305
62,0.861397915842759,0.918114241626632,27.2472933441109,31.0655302635678,22.8933533082763,31.1471715922467,0.695117162403414,0.685126392166635,68.8,85.2,46942.6,50052,,,0.082622835678053,0.049692420391872
