problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ4,3,8,"[0.677, 0.677, 0.218]",0.5091888927829161,0.6099054820570277,6.612609269010329,7.575988481607285,4.113474260932568,4.747096500936106,0.757972014820613,0.7428478686958528,4,10,3384,10812
DTLZ5,3,1,"[0.352, 0.352, 0.897]",0.6711919384224725,0.5813794647514432,7.705943054751808,8.06888240708166,5.637117948532986,8.73685985424697,0.7605902138577906,0.7101407220325484,7,11,3040,2412
DTLZ5,3,2,"[0.622, 0.622, 0.553]",0.7510801139046652,0.36061577914053683,8.473043452346545,4.507002118979622,6.153055966110895,6.653567402353486,0.7616996252185981,0.7701381369652109,6,12,3736,3612
DTLZ5,3,3,"[0.562, 0.649, 0.569]",0.9419979802491775,0.5703919838191694,7.412259737364037,7.63591302817918,6.714645841720645,6.66650329604191,0.8012086086259735,0.7520820716741307,0,12,4894,4812
DTLZ5,3,4,"[0.562, 0.649, 0.569]",0.8393559269759934,0.42600707788361725,7.575177726949525,5.258742536184205,8.11537317466037,7.497639674500505,0.8364494281420852,0.7593887209056954,0,11,6280,6012
DTLZ5,3,5,"[0.512, 0.512, 0.655]",0.6828688528176755,0.3976453334706638,7.9247838394797165,5.734390112704358,7.610302230869687,9.04384925150083,0.7595260003676126,0.7352323219382911,4,12,7614,7212
DTLZ5,3,6,"[0.512, 0.512, 0.655]",0.9237169460980534,0.5327517365398182,7.906977649442002,7.559602793845559,6.749759723905447,9.875095054147062,0.734441512960978,0.7342409348613613,4,12,9014,8412
DTLZ5,3,7,"[0.51, 0.51, 0.653]",0.6755553390362936,0.3631231536813726,7.876980539403964,5.695360427425258,8.464085258336034,7.89714408773681,0.7416181345252065,0.7489205757531786,6,12,10414,9612
DTLZ5,3,8,"[0.51, 0.51, 0.653]",0.9274731715900928,0.5310716230588843,7.838456562849135,7.1925062056092735,5.7821615803007544,10.596301176798788,0.734231397567416,0.7349967724052995,4,8,11814,10812
DTLZ6,3,1,"[3.69, 4.29, 3.46]",0.0,0.15311312208143718,0,18.041539452838578,4.071558299422922,3.609863030160585,2.632880623493702,1.8323066907142394,0,12,2706,2412
DTLZ6,3,2,"[2.63, 3.04, 2.47]",0.5255365020386171,0.17751092984225247,10.41252376660735,21.20441799505856,3.947543628560311,2.4703676834008315,2.397306290134415,0.7925568954193639,0,12,4306,3612
DTLZ6,3,3,"[1.94, 1.94, 1.94]",0.5011399932969742,0.19271068076818068,9.157979210076487,18.04336607753475,3.8603758493093023,2.944395417822761,1.665238557104637,0.7926155856198184,2,12,5778,4812
DTLZ6,3,4,"[1.7, 1.96, 1.6]",0.5482617573360694,0.13168442094790694,12.016929264420437,14.002207844255107,4.206054985218478,2.9531700689274323,1.5696105172828676,0.8435925122660234,2,12,7272,6012
DTLZ6,3,5,"[1.62, 2.22e-16, 2.22e-16]",0.620385094015782,0.44104242417714024,2.9669581507351865,2.9168395514325325,4.143236952225142,3.398502580632367,2.128798683309456,1.0442409664101657,2,12,7882,7212
DTLZ6,3,6,"[1.62, 2.22e-16, 2.22e-16]",0.28890708053632663,0.09447889583064835,1.7879048312064294,1.0714155364033655,4.220695142042794,3.320971902364266,3.311780861587619,1.085362524129154,1,12,8596,8412
